Country,Global category,Overview category,Sector,Subsector,Indicator ID,Value,Source,Indicator name
Australia,Overview,Net-zero Target,,,nz_source,"<a href=""https://parlinfo.aph.gov.au/parlInfo/download/legislation/bills/r6886_first-reps/toc_pdf/2261b01.pdf;fileType=application%2Fpdf"">Climate Change (Consequential Amendments) Bill 2022 </a> (9/8/2022); <a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Australia%20First/Australia%20Nationally%20Determined%20Contribution%20Update%20October%202021%20WEB.pdf"">Australia First NDC (Updated submission)</a>  (10/28/2021); <a href=""https://www.industry.gov.au/sites/default/files/October%202021/document/australias-long-term-emissions-reduction-plan.pdf"">Australia's Long-term Emissions Reduction Plan</a> (10/16/2021)",Net_Zero,Net-zero Target Source
Australia,Overview,Net-zero Target,,,nz_ghg,All GHGs Covered,Net_Zero,Coverage of GHGs
Australia,Overview,Net-zero Target,,,nz_sec,All sectors,Net_Zero,Coverage of Domestic Sectors
Australia,Overview,Net-zero Target,,,nz_offset,International Offsets Included,Net_Zero,Includes International Offsets
Australia,Overview,Net-zero Target,,,nz_ship,Unclear or Undecided,Net_Zero,Includes International Shipping and Aviation
Australia,Overview,Net-zero Target,,,nz_separate_net_gross,Separate Net and Gross Targets,Net_Zero,Includes Separate Targets for Gross and Net Reductions
Austria,Overview,Net-zero Target,,,nz_status,In Policy Document,Net_Zero,Net-zero Target Status
Austria,Overview,Net-zero Target,,,nz_year,2050,Net_Zero,Net-zero Target Year
Austria,Overview,Net-zero Target,,,nz_source,"<a href=""https://unfccc.int/sites/default/files/resource/LTS1_Austria.pdf"">Long-Term Strategy 2050 - Austria</a> (11/12/2020); <br><a href=""https://www.dieneuevolkspartei.at/Download/Regierungsprogramm_2020.pdf"">Integrated National Energy and Climate Plan for Austria</a> (2020)",Net_Zero,Net-zero Target Source
Austria,Overview,Net-zero Target,,,nz_ghg,All GHGs Covered,Net_Zero,Coverage of GHGs
Austria,Overview,Net-zero Target,,,nz_sec,All sectors,Net_Zero,Coverage of Domestic Sectors
Austria,Overview,Net-zero Target,,,nz_offset,Unclear or Undecided,Net_Zero,Includes International Offsets
Austria,Overview,Net-zero Target,,,nz_ship,International Shipping and Aviation Included,Net_Zero,Includes International Shipping and Aviation
Austria,Overview,Net-zero Target,,,nz_separate_net_gross,Net Target Only,Net_Zero,Includes Separate Targets for Gross and Net Reductions
Bahrain,Overview,Net-zero Target,,,nz_status,In Political Pledge,Net_Zero,Net-zero Target Status
Bahrain,Overview,Net-zero Target,,,nz_year,2060,Net_Zero,Net-zero Target Year
Bahrain,Overview,Net-zero Target,,,nz_source,"<a href=""https://unfccc-cop26.streamworld.de/webcast/first-part-of-the-high-level-segment-for-heads-o-3"">Speech during COP26 World Leaders Summit</a> (11/2/2021)",Net_Zero,Net-zero Target Source
Bahrain,Overview,Net-zero Target,,,nz_ghg,GHG Coverage Unclear or Undecided,Net_Zero,Coverage of GHGs
Bahrain,Overview,Net-zero Target,,,nz_sec,Unclear or Undecided,Net_Zero,Coverage of Domestic Sectors
Bahrain,Overview,Net-zero Target,,,nz_offset,Unclear or Undecided,Net_Zero,Includes International Offsets
Bahrain,Overview,Net-zero Target,,,nz_ship,Unclear or Undecided,Net_Zero,Includes International Shipping and Aviation
Bahrain,Overview,Net-zero Target,,,nz_separate_net_gross,Net Target Only,Net_Zero,Includes Separate Targets for Gross and Net Reductions
Barbados,Overview,Net-zero Target,,,nz_status,In Political Pledge,Net_Zero,Net-zero Target Status
Barbados,Overview,Net-zero Target,,,nz_year,2030,Net_Zero,Net-zero Target Year
Barbados,Overview,Net-zero Target,,,nz_source,"<a href=""https://www.climateambitionsummit2020.org/ondemand.php"">Climate Ambition Summit 2020</a> (12/12/2020)",Net_Zero,Net-zero Target Source
Barbados,Overview,Net-zero Target,,,nz_ghg,GHG Coverage Unclear or Undecided,Net_Zero,Coverage of GHGs
Barbados,Overview,Net-zero Target,,,nz_sec,Unclear or Undecided,Net_Zero,Coverage of Domestic Sectors
Barbados,Overview,Net-zero Target,,,nz_offset,Unclear or Undecided,Net_Zero,Includes International Offsets
Barbados,Overview,Net-zero Target,,,nz_ship,Unclear or Undecided,Net_Zero,Includes International Shipping and Aviation
Barbados,Overview,Net-zero Target,,,nz_separate_net_gross,Net Target Only,Net_Zero,Includes Separate Targets for Gross and Net Reductions
Bhutan,Overview,Net-zero Target,,,nz_status,In Policy Document,Net_Zero,Net-zero Target Status
Bhutan,Overview,Net-zero Target,,,nz_year,Already achieved and commit to maintain,Net_Zero,Net-zero Target Year
Bhutan,Overview,Net-zero Target,,,nz_source,"<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bhutan%20Second/Second%20NDC%20Bhutan.pdf"">Kingdom of Bhutan Second Nationally Determined Contribution</a> (6/22/2021);<br><a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bhutan%20First/Bhutan-INDC-20150930.pdf"">Kingdom of Bhutan Intended Nationally Determined Contribution</a> (9/18/2017)",Net_Zero,Net-zero Target Source
Bhutan,Overview,Net-zero Target,,,nz_ghg,All GHGs Covered,Net_Zero,Coverage of GHGs
Bhutan,Overview,Net-zero Target,,,nz_sec,All sectors,Net_Zero,Coverage of Domestic Sectors
Bhutan,Overview,Net-zero Target,,,nz_offset,International Offsets Included,Net_Zero,Includes International Offsets
Bhutan,Overview,Net-zero Target,,,nz_ship,Unclear or Undecided,Net_Zero,Includes International Shipping and Aviation
